virus,year
"AY661066
",1989
"AY661065
",1989
AF008665,1989
AY661049,1985
"AY661068
",1989
"AY661196
",1995
"AY661102
",1991
"AY661120
",1992
"AY661181
",1995
"AY661162
",1993
"AY661058
",1989
"AY661036
",2003
"AY661110
",1992
"AY661129
",1992
"AY661076
",1991
"AY661011
",1977
"AY661004
",1973
"AY661173
",1993
"AY661051
",1985
"AY661015
",1982
AY661024,2001
"AY661052
",1985
"AY661000
",1972
AF092062,1973
"AY661073
",1990
"AY661119
",1991
"AY661095
",1992
"AY661151
",1993
"AY660996
",1971
"AY661208
",1998
"AY661175
",1994
"AY661176
",1994
"AY661092
",1992
"AY661168
",1993
"AY661046
",1980
"AF092062
",1973
"AY661205
",1997
AY661045,1977
"AY660997
",1971
"AY661100
",1991
"AY661093
",1992
"AY661008
",1976
"AY661178
",1994
"AY661017
",1974
"AY661055
",1988
"AF368444
",1997
"AY661127
",1992
"AY661166
",1993
"AY661163
",1993
"AY661159
",1993
"AY661070
",1990
AY661098,1991
"AY661063
",1989
"AY661016
",1983
"AY661139
",1993
"AY661153
",1993
"AY661194
",1996
"AY661124
",1992
"AY661156
",1993
"AY661138
",1992
"AY661050
",1985
AY661192,1995
AY661159,1993
"AY661182
",1995
"AY661021
",2000
AF008725,1995
"AY661118
",1992
"AY661191
",1995
"U08858
",1932
AF201874,1968
"AY661005
",1974
"AY661049
",1985
"AY661034
",2003
"AY661117
",1992
"AY661209
",1998
"AY661195
",1996
"AY661007
",1976
"AF180643
",1997
"AY661193
",1996
"AY661115
",1992
"AY661030
",2002
"AF008697
",1992
AY661054,1988
"AY661045
",1977
"AY661025
",1982
"AY661116
",1992
"AY661167
",1993
"AY660999
",1972
"AY661020
",1994
"AY661033
",2003
"AY660994
",1970
"AY661082
",1992
"AF008665
",1989
"AY661179
",1994
AY661020,1994
"AY661202
",1997
AY661048,1982
AY661053,1986
"AY660995
",1970
"AY661060
",1989
"AY661126
",1992
"AY661087
",1992
"AY661106
",1991
"AY661184
",1995
"AY661079
",1991
"AY661099
",1991
"AY661035
",2003
"AY661012
",1977
"AY661075
",1991
AY661201,1997
"AY661172
",1993
"AY661149
",1993
"AY661080
",1992
"AY661044
",1976
"AY661038
",1968
"AY661062
",1989
"AY661200
",1996
"AY661133
",1993
AY661180,1994
"AF008867
",1984
AY661042,1974
"AY661048
",1982
"AY661042
",1974
"AY661023
",2001
AF008888,1987
"AY661069
",1990
"AF368446
",1997
"AY661071
",1989
"AY661180
",1994
"AY661027
",1974
"AY661013
",1977
"AY661111
",1992
"AY661024
",2001
"AY661177
",1994
"AY661037
",1903
"AY661014
",1981
"AY661186
",1995
"AF008769
",1996
"AY661165
",1993
"AY660998
",1971
"AY661147
",1993
AY661209,1998
"Z46408
",1994
"AY661081
",1991
"AY661122
",1992
"AY661125
",1992
"AY661083
",1992
"AY661001
",1972
AY661066,1989
"AY661074
",1990
"AF131997
",1996
"AY661072
",1990
"AY661154
",1993
"AY661041
",1972
AY661019,1999
"AY661140
",1993
"AY661086
",1992
AF008903,1986
"AY661078
",1991
"AY661203
",1997
AY661073,1990
"AY661170
",1993
AY661047,1980
AY661041,1972
"AY661144
",1993
"AY661143
",1993
"AY661010
",1976
"AY661101
",1991
"AF008886
",1987
"AY661130
",1992
"AY661084
",1992
AY661181,1995
AY661174,1993
"AF180602
",1996
"AY661142
",1993
"AY661188
",1995
"AY661006
",1976
"AY661121
",1992
"AY661059
",1989
AY661034,2003
"AY661088
",1992
"AY661097
",1992
AY661046,1980
"AY661174
",1993
"AY661197
",1996
"AY661169
",1993
"AY661043
",1975
"AY661067
",1989
"AY661204
",1994
AY661022,2001
"AY661003
",1973
"AY661190
",1995
"AY661141
",1993
"AY661160
",1993
"AY661077
",1991
"AY661031
",2002
"AY661211
",1993
"AY661146
",1993
"AY661161
",1993
"AF008903
",1986
"AY661112
",1992
AY661151,1993
"AY661155
",1993
"AY661206
",1998
"AY661164
",1993
"AY661032
",2003
"AY661171
",1993
"AY660992
",1969
"AY661137
",1992
"AY661158
",1993
AY661025,1982
"AY661109
",1992
"AY661029
",1989
"AY661104
",1991
"AY661018
",1974
"AY661094
",1992
"AY661040
",1969
"AY661123
",1992
"AY661061
",1989
"AY661183
",1995
"AY661207
",1998
AY661197,1996
"AY661185
",1995
AY661200,1996
"AY661096
",1992
"AY661039
",1968
"AY661054
",1988
"AY661089
",1992
AY661182,1995
"AY661105
",1991
"AY661098
",1991
"AY660993
",1969
"AY661009
",1976
AF008886,1987
"AF180570
",1996
"AY661150
",1993
"AY661157
",1993
"AY661026
",1999
"Z46405
",1994
"AY661022
",2001
"AY661189
",1995
"AY661108
",1992
AY661050,1985
"AY661085
",1992
"AY661114
",1992
AY661052,1985
"AY661057
",1989
"AY661019
",1999
"AY661090
",1992
AY661183,1995
AY661023,2001
"AF008725
",1995
"AY661152
",1993
"AF008755
",1995
"AY661103
",1991
"D49961
",1989
"AY661132
",1993
"AF008888
",1987
"AY661148
",1993
"AY661091
",1992
"Z46414
",1993
"AY661107
",1991
AY661067,1989
"AY661113
",1992
"AY661028
",1975
"AY661192
",1995
"AY661128
",1992
"AY661134
",1992
"AY661131
",1993
"AY661002
",1973
"AY661056
",1988
"AY661187
",1995
"AF008711
",1996
"AY660991
",1968
"AY661053
",1986
"AY661064
",1989
"AY661145
",1993
U08858,1932
"AY661135
",1992
"AF201874
",1968
"AY661047
",1980
AY661031,2002
"AY661201
",1997
